id	description	type	language
5754745	nocturnal	Diurnality	en
5754745	carnivore	Feeding_guild_adult	en
5754745	0	Habitat_urban	en
5754745	0	Habitat_agriculture	en
5754745	1	Habitat_forest	en
5754745	0	Habitat_grassland	en
5754745	0	Habitat_heathland	en
5754745	0	Habitat_dunes	en
5754745	0	Habitat_fresh_marshes	en
5754745	0	Habitat_salt_marshes	en
5754770	0	Overwintering_egg	en
5754770	1	Overwintering_larva	en
5754770	0	Overwintering_pupa	en
5754770	0	Overwintering_adult	en
5754770	nocturnal	Diurnality	en
5754770	carnivore	Feeding_guild_adult	en
5754770	0	Habitat_urban	en
5754770	0	Habitat_agriculture	en
5754770	1	Habitat_forest	en
5754770	0	Habitat_grassland	en
5754770	0	Habitat_heathland	en
5754770	0	Habitat_dunes	en
5754770	0	Habitat_fresh_marshes	en
5754770	0	Habitat_salt_marshes	en
5754772	nocturnal	Diurnality	en
5754772	carnivore	Feeding_guild_adult	en
5754772	polyphagous	Trophic_range_adult	en
5754772	0	Habitat_urban	en
5754772	0	Habitat_agriculture	en
5754772	1	Habitat_forest	en
5754772	0	Habitat_grassland	en
5754772	0	Habitat_heathland	en
5754772	0	Habitat_dunes	en
5754772	0	Habitat_fresh_marshes	en
5754772	0	Habitat_salt_marshes	en
5754817	0	Overwintering_egg	en
5754817	0	Overwintering_larva	en
5754817	0	Overwintering_pupa	en
5754817	1	Overwintering_adult	en
5754817	nocturnal	Diurnality	en
5754817	carnivore	Feeding_guild_adult	en
5754817	polyphagous	Trophic_range_adult	en
5754817	0	Habitat_urban	en
5754817	0	Habitat_agriculture	en
5754817	1	Habitat_forest	en
5754817	0	Habitat_grassland	en
5754817	0	Habitat_heathland	en
5754817	0	Habitat_dunes	en
5754817	0	Habitat_fresh_marshes	en
5754817	0	Habitat_salt_marshes	en
4433517	0	Habitat_urban	en
4433517	0	Habitat_agriculture	en
4433517	1	Habitat_forest	en
4433517	0	Habitat_grassland	en
4433517	0	Habitat_heathland	en
4433517	0	Habitat_dunes	en
4433517	0	Habitat_fresh_marshes	en
4433517	0	Habitat_salt_marshes	en
4433510	0	Overwintering_egg	en
4433510	0	Overwintering_larva	en
