id	taxonID	scientificName	kingdom	phylum	class	order	family
5754745	5754745	Abax carinatus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
5754770	5754770	Abax ovalis	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
5754772	5754772	Abax parallelepipedus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
5754817	5754817	Abax parallelus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
4433517	4433517	Abraeus granulum	Animalia	Arthropoda	Insecta	Coleoptera	Histeridae
4433510	4433510	Abraeus perpusillus	Animalia	Arthropoda	Insecta	Coleoptera	Histeridae
1967873	1967873	Abraxas grossulariata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
1967815	1967815	Abraxas sylvata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
1767608	1767608	Abrostola asclepiadis	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1767625	1767625	Abrostola tripartita	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1767597	1767597	Abrostola triplasia	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
2020737	2020737	Acalypta carinata	Animalia	Arthropoda	Insecta	Hemiptera	Tingidae
4488996	4488996	Acalypta gracilis	Animalia	Arthropoda	Insecta	Hemiptera	Tingidae
4489008	4489008	Acalypta marginata	Animalia	Arthropoda	Insecta	Hemiptera	Tingidae
4488988	4488988	Acalypta musci	Animalia	Arthropoda	Insecta	Hemiptera	Tingidae
4488999	4488999	Acalypta nigrina	Animalia	Arthropoda	Insecta	Hemiptera	Tingidae
2020740	2020740	Acalypta parvula	Animalia	Arthropoda	Insecta	Hemiptera	Tingidae
4489001	4489001	Acalypta platycheila	Animalia	Arthropoda	Insecta	Hemiptera	Tingidae
5013501	5013501	Acalyptus carpini	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae
1067457	1067457	Acanthobodilus immundus	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae
10595482	10595482	Acanthocinus aedilis	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae
4459446	4459446	Acanthocinus griseus	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae
5866246	5866246	Acanthosoma haemorrhoidale	Animalia	Arthropoda	Insecta	Hemiptera	Acanthosomatidae
2136710	2136710	Acartauchenius scurrilis	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae
1968206	1968206	Acasis appensata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
